IPT,Resource Name,Link,Logo,Organization,Type,Subtype,Events,Measurements,Occurrences,LastModified,LastPublication,NextPublication,Visibility,Author,Error
cria,ALCB - Herbário Alexandre Leal Costa,http://ipt1.cria.org.br/ipt/resource?r=alcb,http://ipt1.cria.org.br/ipt/logo.do?r=alcb,UFBA,Occurrence,Specimen,0,0,99602,2017-11-07 00:00:00 +0000 UTC,2017-11-07 00:00:00 +0000 UTC,2017-12-07 08:56:00 +0000 UTC,Public,Suporte CRIA,
cria,ASE - Herbário da Universidade Federal de Sergipe,http://ipt1.cria.org.br/ipt/resource?r=ase,http://ipt1.cria.org.br/ipt/logo.do?r=ase,UFS,Occurrence,Specimen,0,0,37192,2017-11-28 00:00:00 +0000 UTC,2017-11-28 00:00:00 +0000 UTC,2017-12-28 16:39:50 +0000 UTC,Public,Suporte CRIA,
cria,BHCB - Herbário da Universidade Federal de Minas Gerais,http://ipt1.cria.org.br/ipt/resource?r=bhcb,http://ipt1.cria.org.br/ipt/logo.do?r=bhcb,UFMG,Occurrence,Specimen,0,0,111876,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:07:34 +0000 UTC,Public,Suporte CRIA,
cria,BHCB-SL - Herbário UFMG - Samambaias e Licófitas,http://ipt1.cria.org.br/ipt/resource?r=bhcb-sl,http://ipt1.cria.org.br/ipt/logo.do?r=bhcb-sl,UFMG,Occurrence,Specimen,0,0,21497,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:13:54 +0000 UTC,Public,Suporte CRIA,
cria,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,http://ipt1.cria.org.br/ipt/resource?r=bhzb,http://ipt1.cria.org.br/ipt/logo.do?r=bhzb,FZBH,Occurrence,Specimen,0,0,11499,2017-11-06 00:00:00 +0000 UTC,2017-11-06 00:00:00 +0000 UTC,2017-12-06 16:21:51 +0000 UTC,Public,Suporte CRIA,
cria,BOTU - Herbário Irina Delanova Gemtchújnicov,http://ipt1.cria.org.br/ipt/resource?r=botu,http://ipt1.cria.org.br/ipt/logo.do?r=botu,UNESP - IBB,Occurrence,Specimen,0,0,26872,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:24:05 +0000 UTC,Public,Suporte CRIA,
cria,"BOTUw - Xiloteca ""Profa. Dra. Maria Aparecida Mourão Brasil""",http://ipt1.cria.org.br/ipt/resource?r=botuw,http://ipt1.cria.org.br/ipt/logo.do?r=botuw,UNESP - IBB,Occurrence,Specimen,0,0,2471,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:14:28 +0000 UTC,Public,Suporte CRIA,
cria,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,http://ipt1.cria.org.br/ipt/resource?r=cen,http://ipt1.cria.org.br/ipt/logo.do?r=cen,Embrapa Cenargen,Occurrence,Specimen,0,0,97064,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:22:41 +0000 UTC,Public,Suporte CRIA,
cria,CEPEC - Herbário do Centro de Pesquisas do Cacau,http://ipt1.cria.org.br/ipt/resource?r=cepec,http://ipt1.cria.org.br/ipt/logo.do?r=cepec,CEPLAC/CEPEC,Occurrence,Specimen,0,0,119857,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:21:16 +0000 UTC,Public,Suporte CRIA,
cria,CEPEC-Fungi - Coleção Micológica do CEPEC,http://ipt1.cria.org.br/ipt/resource?r=cepec-fungi,http://ipt1.cria.org.br/ipt/logo.do?r=cepec-fungi,CEPLAC/CEPEC,Occurrence,Specimen,0,0,2470,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:29:25 +0000 UTC,Public,Suporte CRIA,
cria,CESJ - Herbário Leopoldo Krieger,http://ipt1.cria.org.br/ipt/resource?r=cesj,http://ipt1.cria.org.br/ipt/logo.do?r=cesj,UFJF,Occurrence,Specimen,0,0,56637,2017-11-03 00:00:00 +0000 UTC,2017-11-03 00:00:00 +0000 UTC,2017-12-03 15:43:19 +0000 UTC,Public,Suporte CRIA,
cria,CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul,http://ipt1.cria.org.br/ipt/resource?r=cgms,http://ipt1.cria.org.br/ipt/logo.do?r=cgms,UFMS,Occurrence,Specimen,0,0,60024,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:17:10 +0000 UTC,Public,Suporte CRIA,
cria,CNMT - Herbário Centro Norte Mato Grossense,http://ipt1.cria.org.br/ipt/resource?r=cnmt,http://ipt1.cria.org.br/ipt/logo.do?r=cnmt,UFMT-Sinop,Occurrence,Specimen,0,0,3685,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:17:44 +0000 UTC,Public,Suporte CRIA,
cria,CPAP - Herbário CPAP,http://ipt1.cria.org.br/ipt/resource?r=cpap,http://ipt1.cria.org.br/ipt/logo.do?r=cpap,Embrapa-Pantanal,Occurrence,Specimen,0,0,20419,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:29:48 +0000 UTC,Public,Suporte CRIA,
cria,CRI - Herbário Pe. Dr. Raulino Reitz,http://ipt1.cria.org.br/ipt/resource?r=cri,http://ipt1.cria.org.br/ipt/logo.do?r=cri,UESC,Occurrence,Specimen,0,0,10727,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:30:22 +0000 UTC,Public,Suporte CRIA,
cria,CVRD - Herbário da Reserva Natural Vale,http://ipt1.cria.org.br/ipt/resource?r=cvrd,http://ipt1.cria.org.br/ipt/logo.do?r=cvrd,CVRD,Occurrence,Specimen,0,0,15711,2017-11-06 00:00:00 +0000 UTC,2017-11-06 00:00:00 +0000 UTC,2017-12-06 16:22:12 +0000 UTC,Public,Suporte CRIA,
cria,DVPR - Herbário da Universidade Tecnológica Federal do Paraná - Dois Vizinhos,http://ipt1.cria.org.br/ipt/resource?r=dvpr,http://ipt1.cria.org.br/ipt/logo.do?r=dvpr,UTFP-DV,Occurrence,Specimen,0,0,4764,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:14:05 +0000 UTC,Public,Suporte CRIA,
cria,EAC - Herbário Prisco Bezerra,http://ipt1.cria.org.br/ipt/resource?r=eac,http://ipt1.cria.org.br/ipt/logo.do?r=eac,UFC,Occurrence,Specimen,0,0,58888,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:13:13 +0000 UTC,Public,Suporte CRIA,
cria,"EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",http://ipt1.cria.org.br/ipt/resource?r=eafm,http://ipt1.cria.org.br/ipt/logo.do?r=eafm,IFAM,Occurrence,Specimen,0,0,7525,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:21:15 +0000 UTC,Public,Suporte CRIA,
cria,EAN - Herbário Jaime Coelho de Moraes,http://ipt1.cria.org.br/ipt/resource?r=ean,http://ipt1.cria.org.br/ipt/logo.do?r=ean,UFPB,Occurrence,Specimen,0,0,7056,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:11:17 +0000 UTC,Public,Suporte CRIA,
cria,EFC - Herbário Escola de Florestas Curitiba,http://ipt1.cria.org.br/ipt/resource?r=efc,http://ipt1.cria.org.br/ipt/logo.do?r=efc,UFPR,Occurrence,Specimen,0,0,15592,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:24:37 +0000 UTC,Public,Suporte CRIA,
cria,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,http://ipt1.cria.org.br/ipt/resource?r=esa,http://ipt1.cria.org.br/ipt/logo.do?r=esa,ESALQ,Occurrence,Specimen,0,0,121405,2017-11-06 00:00:00 +0000 UTC,2017-11-06 00:00:00 +0000 UTC,2017-12-06 14:36:21 +0000 UTC,Public,Suporte CRIA,
cria,FCAB - Herbário Friburguense,http://ipt1.cria.org.br/ipt/resource?r=fcab,http://ipt1.cria.org.br/ipt/logo.do?r=fcab,PUC-Rio,Occurrence,Specimen,0,0,6784,2017-11-17 00:00:00 +0000 UTC,2017-11-17 00:00:00 +0000 UTC,2017-12-17 10:18:20 +0000 UTC,Public,Suporte CRIA,
cria,FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina,http://ipt1.cria.org.br/ipt/resource?r=flor,http://ipt1.cria.org.br/ipt/logo.do?r=flor,UFSC,Occurrence,Specimen,0,0,57384,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:10:12 +0000 UTC,Public,Suporte CRIA,
cria,FNJV - Fonoteca Neotropical Jacques Vielliard,http://ipt1.cria.org.br/ipt/resource?r=fnjv,http://ipt1.cria.org.br/ipt/logo.do?r=fnjv,UNICAMP-IBB,Occurrence,Specimen,0,0,22277,2017-11-17 00:00:00 +0000 UTC,2017-11-17 00:00:00 +0000 UTC,2017-12-17 10:28:00 +0000 UTC,Public,Suporte CRIA,
cria,FUEL - Herbário da Universidade Estadual de Londrina,http://ipt1.cria.org.br/ipt/resource?r=fuel,http://ipt1.cria.org.br/ipt/logo.do?r=fuel,UEL,Occurrence,Specimen,0,0,53517,2017-11-18 00:00:00 +0000 UTC,2017-11-18 00:00:00 +0000 UTC,2017-12-18 14:47:06 +0000 UTC,Public,Suporte CRIA,
cria,Funed-Pol - Coleção de lâminas de grãos de pólen,http://ipt1.cria.org.br/ipt/resource?r=funed-pol,http://ipt1.cria.org.br/ipt/logo.do?r=funed-pol,FUNED,Occurrence,Specimen,0,0,4688,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:24:48 +0000 UTC,Public,Suporte CRIA,
cria,FURB - Herbário Dr. Roberto Miguel Klein,http://ipt1.cria.org.br/ipt/resource?r=furb,http://ipt1.cria.org.br/ipt/logo.do?r=furb,FURB,Occurrence,Specimen,0,0,55348,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:08:19 +0000 UTC,Public,Suporte CRIA,
cria,HAMAB - Herbário Amapaense,http://ipt1.cria.org.br/ipt/resource?r=hamab,http://ipt1.cria.org.br/ipt/logo.do?r=hamab,IEPA,Occurrence,Specimen,0,0,15879,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:24:16 +0000 UTC,Public,Suporte CRIA,
cria,HAS - Herbário Alarich Rudolf Holger Schultz,http://ipt1.cria.org.br/ipt/resource?r=has,http://ipt1.cria.org.br/ipt/logo.do?r=has,FZBRS,Occurrence,Specimen,0,0,33443,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:26:04 +0000 UTC,Public,Suporte CRIA,
cria,HAS-Algae - Coleção Ficológica do HAS,http://ipt1.cria.org.br/ipt/resource?r=has-algae,http://ipt1.cria.org.br/ipt/logo.do?r=has-algae,FZBRS,Occurrence,Specimen,0,0,1402,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:08:40 +0000 UTC,Public,Suporte CRIA,
cria,HBRA - Herbário do Instituto de Estudos Costeiros da Universidade Federal do Pará,http://ipt1.cria.org.br/ipt/resource?r=hbra,http://ipt1.cria.org.br/ipt/logo.do?r=hbra,IECOS,Occurrence,Specimen,0,0,8782,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:16:58 +0000 UTC,Public,Suporte CRIA,
cria,HCDAL - Herbário Caririense Dárdano de Andrade-Lima,http://ipt1.cria.org.br/ipt/resource?r=hcdal,http://ipt1.cria.org.br/ipt/logo.do?r=hcdal,URCA,Occurrence,Specimen,0,0,3914,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:10:55 +0000 UTC,Public,Suporte CRIA,
cria,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,http://ipt1.cria.org.br/ipt/resource?r=hcf,http://ipt1.cria.org.br/ipt/logo.do?r=hcf,UTFP-CM,Occurrence,Specimen,0,0,24324,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:29:14 +0000 UTC,Public,Suporte CRIA,
cria,HDJF - Herbário Dendrológico Jeanine Felfili,http://ipt1.cria.org.br/ipt/resource?r=hdjf,http://ipt1.cria.org.br/ipt/logo.do?r=hdjf,UFVJM,Occurrence,Specimen,0,0,3359,2017-11-29 00:00:00 +0000 UTC,2017-11-29 00:00:00 +0000 UTC,2017-12-29 12:06:21 +0000 UTC,Public,Suporte CRIA,
cria,HEPH - Herbário Ezechias Paulo Heringer,http://ipt1.cria.org.br/ipt/resource?r=heph,http://ipt1.cria.org.br/ipt/logo.do?r=heph,JBB,Occurrence,Specimen,0,0,27022,2017-11-12 00:00:00 +0000 UTC,2017-11-12 00:00:00 +0000 UTC,2017-12-12 15:17:57 +0000 UTC,Public,Suporte CRIA,
